park_name,park_url,park_type,park_city,park_state
Sand Creek Massacre,/sand/,National Historic Site,"Kiowa County, CO ",Colorado
Santa Fe,/safe/,National Historic Trail,"CO,KS,MO,NM,OK ",Colorado
Yucca House,/yuho/,National Monument,"Cortez, CO ",Colorado
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Connecticut
Coltsville,/colt/,National Historical Park,"Hartford, CT ",Connecticut
New England,/neen/,National Scenic Trail,"MA,CT ",Connecticut
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",Connecticut
Weir Farm,/wefa/,National Historical Park,"Ridgefield & Wilton, CT ",Connecticut
Captain John Smith Chesapeake,/cajo/,National Historic Trail,"Various States VA,MD,DE,DC,PA,NY ",Delaware
Chesapeake Bay,/cbpo/,,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV ",Delaware
First State,/frst/,National Historical Park,"DE,PA ",Delaware
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",Delaware
African American Civil War Memorial,/afam/,,"Washington, DC ",District of Columbia
Anacostia,/anac/,Park,"Washington, DC ",District of Columbia
Belmont-Paul Women's Equality,/bepa/,National Monument,"Washington, DC ",District of Columbia
Capitol Hill Parks,/cahi/,,"Washington, DC ",District of Columbia
Captain John Smith Chesapeake,/cajo/,National Historic Trail,"Various States VA,MD,DE,DC,PA,NY ",District of Columbia
Carter G. Woodson Home,/cawo/,National Historic Site,"Washington, DC ",District of Columbia
Chesapeake & Ohio Canal,/choh/,National Historical Park,"Potomac River, DC,MD,WV ",District of Columbia
Chesapeake Bay,/cbpo/,,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV ",District of Columbia
Civil War Defenses of Washington,/cwdw/,,"Washington, DC,MD,VA ",District of Columbia
Constitution Gardens,/coga/,,"Washington, DC ",District of Columbia
Dwight D. Eisenhower,/ddem/,Memorial,DC ,District of Columbia
Ford's Theatre,/foth/,,"Washington, DC ",District of Columbia
Fort Dupont Park,/fodu/,,"Washington, DC ",District of Columbia
Franklin Delano Roosevelt Memorial,/frde/,,"Washington, DC ",District of Columbia
Frederick Douglass,/frdo/,National Historic Site,"Washington, DC ",District of Columbia
George Washington,/gwmp/,Memorial Parkway,"DC,MD,VA ",District of Columbia
Kenilworth Park & Aquatic Gardens,/keaq/,,"Washington, DC ",District of Columbia
Korean War Veterans Memorial,/kowa/,,"Washington, DC ",District of Columbia
LBJ Memorial Grove on the Potomac,/lyba/,,"Washington, DC ",District of Columbia
Lincoln Memorial,/linc/,,"Washington, DC ",District of Columbia
"Martin Luther King, Jr. Memorial",/mlkm/,,"Washington, DC ",District of Columbia
Mary McLeod Bethune Council House,/mamc/,"National Historic Site
","Washington, DC ",District of Columbia
National Capital Parks-East,/nace/,,"Washington, DC ",District of Columbia
National Mall and Memorial Parks,/nama/,,"Washington, DC ",District of Columbia
Pennsylvania Avenue,/paav/,,"Washington, DC ",District of Columbia
Potomac Heritage,/pohe/,National Scenic Trail,"the corridor between the Chesapeake Bay and the Allegheny Highlands, DC,MD,PA,VA ",District of Columbia
Rock Creek,/rocr/,Park,"Washington, DC ",District of Columbia
Star-Spangled Banner,/stsp/,National Historic Trail,"DC,MD,VA ",District of Columbia
The White House and President's Park,/whho/,,"Washington, DC ",District of Columbia
Theodore Roosevelt Island,/this/,,"Washington, DC ",District of Columbia
Thomas Jefferson Memorial,/thje/,,"Washington, DC ",District of Columbia
Vietnam Veterans Memorial,/vive/,,"Washington, DC ",District of Columbia
Washington Monument,/wamo/,,"Washington, DC ",District of Columbia
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",District of Columbia
World War I Memorial,/wwim/,,"Washington, DC ",District of Columbia
World War II Memorial,/wwii/,,"
Washington, DC ",District of Columbia
Big Cypress,/bicy/,National Preserve,"Ochopee, FL ",Florida
Biscayne,/bisc/,National Park,"Miami, Key Biscayne & Homestead, FL ",Florida
Canaveral,/cana/,National Seashore," Titusville and New Smyrna Beach, FL ",Florida
Castillo de San Marcos,/casa/,National Monument,"St. Augustine, FL ",Florida
De Soto,/deso/,National Memorial,"Bradenton, FL ",Florida
Dry Tortugas,/drto/,National Park,"Key West, FL ",Florida
Everglades,/ever/,National Park,"Miami, Naples, and Homestead, FL ",Florida
Fort Caroline,/foca/,National Memorial,"the Timucuan Preserve; Jacksonville, FL ",Florida
Fort Matanzas,/foma/,National Monument,"St. Augustine, FL ",Florida
Gulf Islands,/guis/,National Seashore,"Gulf Breeze, Florida  and Ocean Springs, Mississippi            , FL,MS ",Florida
Timucuan,/timu/,Ecological & Historic Preserve,"Jacksonville, FL ",Florida
Andersonville,/ande/,National Historic Site,"Andersonville, GA ",Georgia
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Georgia
Chattahoochee River,/chat/,National Recreation Area,"Atlanta, GA ",Georgia
Chickamauga & Chattanooga,/chch/,National Military Park,"Fort Oglethorpe, GA,TN ",Georgia
Cumberland Island,/cuis/,National Seashore,"Saint Marys, GA ",Georgia
Fort Frederica,/fofr/,National Monument,"St. Simons Island, GA ",Georgia
Fort Pulaski,/fopu/,National Monument,"Savannah, GA ",Georgia
Jimmy Carter,/jica/,National Historical Park,"Plains, GA ",Georgia
Kennesaw Mountain,/kemo/,National Battlefield Park,"Kennesaw, GA ",Georgia
"Martin Luther King, Jr.",/malu/,National Historical Park,"Atlanta, GA ",Georgia
Ocmulgee Mounds,/ocmu/,National Historical Park,"Macon, GA ",Georgia
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Georgia
War In The Pacific,/wapa/,National Historical Park,"Asan, GU ",Guam
Ala Kahakai,/alka/,National Historic Trail,"the Island of Hawaii, HI ",Hawaii
Haleakalā,/hale/,National Park,"Kula, Maui, HI ",Hawaii
Hawaiʻi Volcanoes,/havo/,National Park,"Hilo, HI ",Hawaii
Honouliuli,/hono/,National Historic Site,HI ,Hawaii
Kalaupapa,/kala/,National Historical Park,"Kalaupapa, HI ",Hawaii
Kaloko-Honokōhau,/kaho/,National Historical Park,"Kailua-Kona, HI ",Hawaii
Pearl Harbor,/valr/,National Memorial,"Honolulu, HI ",Hawaii
Puʻuhonua o Hōnaunau,/puho/,National Historical Park,"Honaunau, HI ",Hawaii
Puʻukoholā Heiau,/puhe/,National Historic Site,"Kawaihae, HI ",Hawaii
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",Idaho
City Of Rocks,/ciro/,National Reserve,"Almo, ID ",Idaho
Craters Of The Moon,/crmo/,National Monument & Preserve,"Arco, Carey and Rupert , ID ",Idaho
Hagerman Fossil Beds,/hafo/,National Monument,"Hagerman, ID ",Idaho
Ice Age Floods,/iafl/,National Geologic Trail,"WA,OR,ID,MT ",Idaho
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Idaho
Minidoka,/miin/,National Historic Site,"Jerome, ID,WA ",Idaho
Nez Perce,/nepe/,National Historical Park,"four states ID,MT,OR,WA ",Idaho
Oregon,/oreg/,National Historic Trail,"Various States ID,KS,MO,NE,OR,WA,WY ",Idaho
Yellowstone,/yell/,National Park,"Yellowstone National Park, ID,MT,WY ",Idaho
Emmett Till and Mamie Till-Mobley,/till/,National Monument,"IL,MS ",Illinois
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Illinois
Lincoln Home,/liho/,National Historic Site,"Springfield, IL ",Illinois
Mormon Pioneer,/mopi/,National Historic Trail,"Various States IL,IA,NE,UT,WY ",Illinois
New Philadelphia,/neph/,National Historic Site,IL ,Illinois
Pullman,/pull/,National Historical Park,"Chicago, IL ",Illinois
Springfield 1908 Race Riot,/spra/,National Monument,IL ,Illinois
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Illinois
George Rogers Clark,/gero/,National Historical Park,"Vincennes, IN ",Indiana
Indiana Dunes,/indu/,National Park,"Porter, IN ",Indiana
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Indiana
Lincoln Boyhood,/libo/,National Memorial,"Lincoln City, IN ",Indiana
Effigy Mounds,/efmo/,National Monument,"Harpers Ferry, IA ",Iowa
Herbert Hoover,/heho/,National Historic Site,"West Branch, IA ",Iowa
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Iowa
Mormon Pioneer,/mopi/,National Historic Trail,"Various States IL,IA,NE,UT,WY ",Iowa
Brown v. Board of Education,/brvb/,National Historical Park,"Topeka, KS ",Kansas
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",Kansas
Fort Larned,/fols/,National Historic Site,"Larned, KS ",Kansas
Fort Scott,/fosc/,National Historic Site,"Fort Scott, KS ",Kansas
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Kansas
Nicodemus,/nico/,National Historic Site,"Nicodemus, KS ",Kansas
Oregon,/oreg/,National Historic Trail,"Various States ID,KS,MO,NE,OR,WA,WY ",Kansas
Pony Express,/poex/,National Historic Trail,"Various States CA,CO,KS,MO,NE,NV,UT,WY ",Kansas
Santa Fe,/safe/,National Historic Trail,"CO,KS,MO,NM,OK ",Kansas
Tallgrass Prairie,/tapr/,National Preserve,"Strong City, KS ",Kansas
Abraham Lincoln Birthplace,/abli/,National Historical Park,"Hodgenville, KY ",Kentucky
Big South Fork,/biso/,National River & Recreation Area,"Oneida, KY,TN ",Kentucky
Camp Nelson,/cane/,National Monument,KY ,Kentucky
Cumberland Gap,/cuga/,National Historical Park,"Middlesboro, KY,TN,VA ",Kentucky
Fort Donelson,/fodo/,National Battlefield,"Dover, KY,TN ",Kentucky
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Kentucky
Mammoth Cave,/maca/,National Park,"Mammoth Cave, KY ",Kentucky
Mill Springs Battlefield,/misp/,National Monument,KY ,Kentucky
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Kentucky
Cane River Creole,/cari/,National Historical Park,"Natchez, LA ",Louisiana
El Camino Real de los Tejas,/elte/,National Historic Trail,"Various States TX,LA ",Louisiana
Jean Lafitte,/jela/,National Historical Park and Preserve,"New Orleans, LA ",Louisiana
New Orleans Jazz,/jazz/,National Historical Park,"New Orleans, LA ",Louisiana
Poverty Point,/popo/,National Monument,"Epps, LA ",Louisiana
Vicksburg,/vick/,National Military Park,"Vicksburg, MS,LA ",Louisiana
Acadia,/acad/,National Park,"Bar Harbor, ME ",Maine
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Maine
Frances Perkins,/frpe/,National Monument,ME ,Maine
Katahdin Woods and Waters,/kaww/,National Monument,ME ,Maine
Maine Acadian Culture,/maac/,,"St. John Valley, ME ",Maine
Roosevelt Campobello,/roca/,International Park,"Lubec
, ME ",Maine
Saint Croix Island,/sacr/,International Historic Site,"Calais, ME ",Maine
Antietam,/anti/,National Battlefield,"Sharpsburg, MD ",Maryland
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Maryland
Assateague Island,/asis/,National Seashore,"MD,VA ",Maryland
Baltimore-Washington,/bawa/,Parkway,"Washington D.C. and Baltimore, Maryland, MD ",Maryland
Captain John Smith Chesapeake,/cajo/,National Historic Trail,"Various States VA,MD,DE,DC,PA,NY ",Maryland
Catoctin Mountain,/cato/,Park,"Thurmont, MD ",Maryland
Chesapeake & Ohio Canal,/choh/,National Historical Park,"Potomac River, DC,MD,WV ",Maryland
Chesapeake Bay,/cbpo/,,"Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV ",Maryland
Civil War Defenses of Washington,/cwdw/,,"Washington, DC,MD,VA ",Maryland
Clara Barton,/clba/,National Historic Site,"Glen Echo , MD ",Maryland
Fort Foote,/fofo/,Park,"Oxon Hill, MD ",Maryland
Fort McHenry,/fomc/,National Monument and Historic Shrine,"Baltimore, MD ",Maryland
Fort Washington,/fowa/,Park,"Fort Washington, MD ",Maryland
George Washington,/gwmp/,Memorial Parkway,"DC,MD,VA ",Maryland
Glen Echo,/glec/,Park,"Glen Echo, MD ",Maryland
Greenbelt,/gree/,Park,"Greenbelt, MD ",Maryland
Hampton,/hamp/,National Historic Site,"Towson, MD ",Maryland
Harmony Hall,/haha/,,"Prince George's County, MD ",Maryland
Harpers Ferry,/hafe/,National Historical Park,"Harpers Ferry, WV,VA,MD ",Maryland
Harriet Tubman Underground Railroad,/hatu/,National Historical Park,"Cambridge, MD ",Maryland
Monocacy,/mono/,National Battlefield,"Frederick, MD ",Maryland
Oxon Cove  Park & Oxon Hill Farm,/oxhi/,,"Oxon Hill, MD ",Maryland
Piscataway,/pisc/,Park,"Accokeek., MD ",Maryland
Potomac Heritage,/pohe/,National Scenic Trail,"the corridor between the Chesapeake Bay and the Allegheny Highlands, DC,MD,PA,VA ",Maryland
Star-Spangled Banner,/stsp/,National Historic Trail,"DC,MD,VA ",Maryland
Thomas Stone,/thst/,National Historic Site,"Port Tobacco, MD ",Maryland
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",Maryland
Adams,/adam/,National Historical Park,"Quincy, MA ",Massachusetts
Appalachian,/appa/,National Scenic Trail,"Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV ",Massachusetts
Blackstone River Valley,/blrv/,National Historical Park,"RI,MA ",Massachusetts
Boston,/bost/,National Historical Park,"Boston, MA ",Massachusetts
Boston African American,/boaf/,National Historic Site,"Boston, MA ",Massachusetts
Boston Harbor Islands,/boha/,National Recreation Area,"Boston, MA ",Massachusetts
Cape Cod,/caco/,National Seashore,"Wellfleet, MA ",Massachusetts
Frederick Law Olmsted,/frla/,National Historic Site,"Brookline, MA ",Massachusetts
John Fitzgerald Kennedy,/jofi/,National Historic Site,"Brookline, MA ",Massachusetts
Longfellow House Washington's Headquarters,/long/,National Historic Site,"Cambridge, MA ",Massachusetts
Lowell,/lowe/,National Historical Park,"Lowell, MA ",Massachusetts
Minute Man,/mima/,National Historical Park,"Concord, Lincoln, Lexington, MA ",Massachusetts
New Bedford Whaling,/nebe/,National Historical Park,"New Bedford, MA ",Massachusetts
New England,/neen/,National Scenic Trail,"MA,CT ",Massachusetts
Salem Maritime,/sama/,National Historic Site,"Salem, MA ",Massachusetts
Saugus Iron Works,/sair/,National Historic Site,"Saugus, MA ",Massachusetts
Springfield Armory,/spar/,National Historic Site,"Springfield, MA ",Massachusetts
Washington-Rochambeau Revolutionary Route,/waro/,National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC ",Massachusetts
Isle Royale,/isro/,National Park,"Houghton, MI ",Michigan
Keweenaw,/kewe/,National Historical Park,"Calumet, MI ",Michigan
North Country,/noco/,National Scenic Trail,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI ",Michigan
Pictured Rocks,/piro/,National Lakeshore,"Munising, Grand Marais, MI ",Michigan
River Raisin,/rira/,National Battlefield Park,MI ,Michigan
Sleeping Bear Dunes,/slbe/,National Lakeshore,"Empire, MI ",Michigan
Grand Portage,/grpo/,National Monument,"Grand Portage, MN ",Minnesota
Mississippi,/miss/,National River & Recreation Area,"Twin Cities Metropolitan Area, MN ",Minnesota
North Country,/noco/,National Scenic Trail,"Eight States - Vermont to North Dakota MI,MN,ND,NY,OH,PA,VT,WI ",Minnesota
Pipestone,/pipe/,National Monument,"Pipestone, MN ",Minnesota
Saint Croix,/sacn/,National Scenic Riverway,"Saint Croix Falls, WI,MN ",Minnesota
Voyageurs,/voya/,National Park,"International Falls, Kabetogama, Ash River, and Crane Lake, MN ",Minnesota
Brices Cross Roads,/brcr/,National Battlefield Site,"Baldwyn, MS ",Mississippi
Emmett Till and Mamie Till-Mobley,/till/,National Monument,"IL,MS ",Mississippi
Gulf Islands,/guis/,National Seashore,"Gulf Breeze, Florida  and Ocean Springs, Mississippi            , FL,MS ",Mississippi
Medgar and Myrlie Evers Home,/memy/,National Monument,MS ,Mississippi
Natchez,/natc/,National Historical Park,"Natchez, MS ",Mississippi
Natchez Trace,/natr/,Parkway,"the states of AL,MS,TN ",Mississippi
Natchez Trace,/natt/,National Scenic Trail,"Tupelo, AL,MS,TN ",Mississippi
Shiloh,/shil/,National Military Park,"Shiloh, TN,MS ",Mississippi
Tupelo,/tupe/,National Battlefield,"Tupelo, MS ",Mississippi
Vicksburg,/vick/,National Military Park,"Vicksburg, MS,LA ",Mississippi
Butterfield Overland,/buov/,National Historic Trail,"MO, AR, OK, TX, NM, AZ, CA ",Missouri
California,/cali/,National Historic Trail,"Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY ",Missouri
Gateway Arch,/jeff/,National Park,"St. Louis, MO ",Missouri
George Washington Carver,/gwca/,National Monument,"Diamond, MO ",Missouri
Harry S Truman,/hstr/,National Historic Site,"Independence and Grandview, MO ",Missouri
Lewis & Clark,/lecl/,National Historic Trail,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV ",Missouri
Oregon,/oreg/,National Historic Trail,"Various States ID,KS,MO,NE,OR,WA,WY ",Missouri
Ozark,/ozar/,National Scenic Riverways,"Van Buren,Eminence,Salem,Winona, MO ",Missouri
Pony Express,/poex/,National Historic Trail,"Various States CA,CO,KS,MO,NE,NV,UT,WY ",Missouri
Santa Fe,/safe/,National Historic Trail,"CO,KS,MO,NM,OK ",Missouri
Ste. Geneviève,/stge/,National Historical Park,MO ,Missouri
Trail Of Tears,/trte/,National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN ",Missouri
Ulysses S Grant,/ulsg/,National Historic Site,"St. Louis, MO ",Missouri
Wilson's Creek,/wicr/,National Battlefield,"Republic, MO ",Missouri
Big Hole,/biho/,National Battlefield,"Wisdom, MT ",Montana
